Node,Depth,Value,Alpha,Beta
B5,3,7,7,Infinity
B4,3,7,7,Infinity
A3,2,7,7,Infinity
A2,2,7,4,7
A4,2,-Infinity,4,7
B2,3,Infinity,4,7
A2,4,Infinity,4,7
A3,4,0,4,7
A2,4,0,4,7
B2,3,4,4,7
A4,2,4,4,7
B3,3,Infinity,4,7
A2,4,Infinity,4,7
A3,4,0,4,7
A2,4,0,4,7
B3,3,4,4,7
A4,2,4,4,7
B4,3,-Infinity,4,7
B2,3,Infinity,4,7
A2,4,Infinity,4,7
A3,4,1,4,7
A2,4,1,4,7
B2,3,4,4,7
B4,3,4,4,7
B3,3,Infinity,4,7
A2,4,Infinity,4,7
A3,4,2,4,7
A2,4,2,4,7
B3,3,4,4,7
B4,3,4,4,7
B5,3,-Infinity,4,7
B2,3,Infinity,4,7
A2,4,Infinity,4,7
A3,4,2,4,7
A2,4,2,4,7
B2,3,4,4,7
B5,3,4,4,7
B3,3,Infinity,4,7
A2,4,Infinity,4,7
A3,4,3,4,7
A2,4,3,4,7
B3,3,4,4,7
B5,3,4,4,7
B4,3,4,4,7
A4,2,4,4,7
A2,2,4,4,7
B5,1,4,4,Infinity
B2,1,4,4,Infinity
B3,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B5,3,-14,4,Infinity
A3,2,-14,4,Infinity
A2,2,-14,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B3,1,4,4,Infinity
B5,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-2,4,Infinity
A2,4,-2,4,Infinity
B2,3,4,4,Infinity
A4,2,4,4,Infinity
B4,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-2,4,Infinity
A2,4,-2,4,Infinity
B4,3,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B5,1,4,4,Infinity
B3,1,4,4,Infinity
B4,1,4,4,Infinity
B5,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B3,3,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A5,4,-8,4,Infinity
B4,3,-8,4,Infinity
B3,3,4,4,Infinity
B5,3,-Infinity,4,Infinity
B4,3,0,4,Infinity
B5,3,0,4,Infinity
B3,3,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B5,1,4,4,Infinity
B4,1,4,4,Infinity
root,0,4,4,Infinity
B5,1,-Infinity,4,Infinity
B2,1,-Infinity,4,Infinity
B3,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A4,4,-3,4,Infinity
B4,3,-3,4,Infinity
A3,2,4,4,Infinity
B5,3,Infinity,4,Infinity
A5,4,-3,4,Infinity
B5,3,-3,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B3,1,4,4,Infinity
B2,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B3,3,Infinity,4,Infinity
A5,4,-3,4,Infinity
B3,3,-3,4,Infinity
A3,2,4,4,Infinity
B5,3,Infinity,4,Infinity
A5,4,-3,4,Infinity
B5,3,-3,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B2,1,4,4,Infinity
B5,1,-Infinity,4,Infinity
B3,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A4,4,-2,4,Infinity
B4,3,-2,4,Infinity
A3,2,4,4,Infinity
B5,3,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A4,4,-1,4,Infinity
B4,3,-1,4,Infinity
B5,3,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B3,1,4,4,Infinity
B5,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B3,3,Infinity,4,Infinity
A5,4,-2,4,Infinity
B3,3,-2,4,Infinity
A3,2,4,4,Infinity
B5,3,-Infinity,4,Infinity
B3,3,Infinity,4,Infinity
A5,4,-1,4,Infinity
B3,3,-1,4,Infinity
B5,3,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B5,1,4,4,Infinity
B2,1,4,4,Infinity
B5,1,4,4,Infinity
B3,1,-Infinity,4,Infinity
B2,1,-Infinity,4,Infinity
B3,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A3,4,-3,4,Infinity
B4,3,-3,4,Infinity
A3,2,4,4,Infinity
B5,3,Infinity,4,Infinity
A5,4,-3,4,Infinity
B5,3,-3,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B3,1,4,4,Infinity
B2,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-2,4,Infinity
A2,4,-2,4,Infinity
B2,3,4,4,Infinity
A4,2,4,4,Infinity
B3,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-2,4,Infinity
A2,4,-2,4,Infinity
B3,3,4,4,Infinity
A4,2,4,4,Infinity
B5,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-2,4,Infinity
A2,4,-2,4,Infinity
B5,3,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B2,1,4,4,Infinity
B5,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B3,3,Infinity,4,Infinity
A5,4,-3,4,Infinity
B3,3,-3,4,Infinity
A3,2,4,4,Infinity
B4,3,Infinity,4,Infinity
A4,4,-3,4,Infinity
B4,3,-3,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B5,1,4,4,Infinity
B2,1,4,4,Infinity
B3,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B5,3,-12,4,Infinity
A3,2,-12,4,Infinity
A2,2,-12,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B3,1,4,4,Infinity
B5,1,-Infinity,4,Infinity
B2,1,-Infinity,4,Infinity
B3,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A3,4,-2,4,Infinity
B4,3,-2,4,Infinity
A3,2,4,4,Infinity
B5,3,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A3,4,-1,4,Infinity
B4,3,-1,4,Infinity
B5,3,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B3,1,4,4,Infinity
B2,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-1,4,Infinity
A2,4,-1,4,Infinity
B2,3,4,4,Infinity
A4,2,4,4,Infinity
B3,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-1,4,Infinity
A2,4,-1,4,Infinity
B3,3,4,4,Infinity
A4,2,4,4,Infinity
B5,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-1,4,Infinity
A2,4,-1,4,Infinity
B5,3,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B2,1,4,4,Infinity
B5,1,-Infinity,4,Infinity
B3,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B4,3,Infinity,4,Infinity
A3,4,-1,4,Infinity
B4,3,-1,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B3,1,4,4,Infinity
B5,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,0,4,Infinity
A2,4,0,4,Infinity
B2,3,4,4,Infinity
A4,2,4,4,Infinity
B3,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,0,4,Infinity
A2,4,0,4,Infinity
B3,3,4,4,Infinity
A4,2,4,4,Infinity
B5,3,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,1,4,Infinity
A2,4,1,4,Infinity
B2,3,4,4,Infinity
B5,3,4,4,Infinity
B3,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A3,4,-4,4,Infinity
A2,4,-4,4,Infinity
B3,3,4,4,Infinity
B5,3,4,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B5,1,4,4,Infinity
B2,1,4,4,Infinity
B5,1,4,4,Infinity
B4,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B5,3,-10,4,Infinity
A3,2,-10,4,Infinity
A2,2,-10,4,Infinity
A4,2,4,4,Infinity
A2,2,4,4,Infinity
A3,2,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,4,Infinity
B5,1,4,4,Infinity
B3,1,4,4,Infinity
B5,1,4,4,Infinity
B4,1,-Infinity,4,Infinity
B2,1,-Infinity,4,Infinity
B3,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A4,2,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B4,3,-Infinity,4,Infinity
B5,3,-8,4,Infinity
B4,3,-8,4,Infinity
A3,2,-8,4,Infinity
